Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.05505000	0.00022720	0.05505000	0.00030412	0.05505000	0.00027642	0.05505000	0.00063978	0.05505000	0.00208588	0.05505000	0.00114412	0.05505000	0.00148258	0.05505000	0.00054072	0.05505000	0.00165253	0.05505000	0.00176523	0.05505000	0.00150449
0.05975000	0.00012722	0.05975000	0.00020722	0.05975000	0.00015188	0.05975000	0.00055212	0.05975000	0.00204582	0.05975000	0.00107331	0.05975000	0.00141310	0.05975000	0.00049640	0.05975000	0.00162520	0.05975000	0.00173752	0.05975000	0.00148137
0.06445000	0.00002457	0.06445000	0.00010987	0.06445000	0.00002598	0.06445000	0.00046471	0.06445000	0.00200843	0.06445000	0.00100111	0.06445000	0.00134212	0.06445000	0.00045219	0.06445000	0.00159777	0.06445000	0.00171107	0.06445000	0.00145689
0.06915000	-0.00007711	0.06915000	0.00001060	0.06915000	-0.00009972	0.06915000	0.00037602	0.06915000	0.00196977	0.06915000	0.00092832	0.06915000	0.00127183	0.06915000	0.00040767	0.06915000	0.00157005	0.06915000	0.00168326	0.06915000	0.00143169
0.07385000	-0.00018382	0.07385000	-0.00008674	0.07385000	-0.00023061	0.07385000	0.00028705	0.07385000	0.00193226	0.07385000	0.00085633	0.07385000	0.00120034	0.07385000	0.00036309	0.07385000	0.00154063	0.07385000	0.00165356	0.07385000	0.00140503
0.07850000	-0.00028550	0.07850000	-0.00018717	0.07850000	-0.00035452	0.07850000	0.00019816	0.07850000	0.00189277	0.07850000	0.00078519	0.07850000	0.00112870	0.07850000	0.00031837	0.07850000	0.00151294	0.07850000	0.00162425	0.07850000	0.00137862
0.08320000	-0.00038776	0.08320000	-0.00028504	0.08320000	-0.00048245	0.08320000	0.00010829	0.08320000	0.00185337	0.08320000	0.00071269	0.08320000	0.00105457	0.08320000	0.00027231	0.08320000	0.00148267	0.08320000	0.00159699	0.08320000	0.00135130
0.08790000	-0.00049045	0.08790000	-0.00038325	0.08790000	-0.00061130	0.08790000	0.00001708	0.08790000	0.00181402	0.08790000	0.00063898	0.08790000	0.00097932	0.08790000	0.00022668	0.08790000	0.00145383	0.08790000	0.00156865	0.08790000	0.00132492
0.09260000	-0.00059404	0.09260000	-0.00048234	0.09260000	-0.00074036	0.09260000	-0.00007391	0.09260000	0.00177418	0.09260000	0.00056672	0.09260000	0.00090617	0.09260000	0.00018087	0.09260000	0.00142280	0.09260000	0.00153926	0.09260000	0.00129911
0.09730000	-0.00069688	0.09730000	-0.00058136	0.09730000	-0.00087139	0.09730000	-0.00016859	0.09730000	0.00173236	0.09730000	0.00049628	0.09730000	0.00083249	0.09730000	0.00013423	0.09730000	0.00139215	0.09730000	0.00150895	0.09730000	0.00127278
0.10200000	-0.00080057	0.10200000	-0.00068001	0.10200000	-0.00100261	0.10200000	-0.00026021	0.10200000	0.00169266	0.10200000	0.00042280	0.10200000	0.00075833	0.10200000	0.00008620	0.10200000	0.00136270	0.10200000	0.00147925	0.10200000	0.00124426
0.10670000	-0.00090395	0.10670000	-0.00077982	0.10670000	-0.00113466	0.10670000	-0.00035292	0.10670000	0.00165113	0.10670000	0.00034859	0.10670000	0.00068255	0.10670000	0.00003998	0.10670000	0.00133077	0.10670000	0.00144806	0.10670000	0.00121593
0.11140000	-0.00101002	0.11140000	-0.00088057	0.11140000	-0.00126770	0.11140000	-0.00044600	0.11140000	0.00161094	0.11140000	0.00027435	0.11140000	0.00060476	0.11140000	-0.00000823	0.11140000	0.00129859	0.11140000	0.00141760	0.11140000	0.00118789
