Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.08320000	0.00027485	0.08320000	0.00075690	0.08320000	0.00048218	0.08320000	0.00054830	0.08320000	0.00002879	0.08320000	0.00051544	0.08320000	0.00034710	0.08320000	0.00036645	0.08320000	-0.00014758	0.08320000	-0.00034290
0.08790000	0.00025178	0.08790000	0.00074217	0.08790000	0.00046003	0.08790000	0.00050672	0.08790000	-0.00000960	0.08790000	0.00049252	0.08790000	0.00032191	0.08790000	0.00033004	0.08790000	-0.00019698	0.08790000	-0.00039325
0.09260000	0.00022851	0.09260000	0.00072651	0.09260000	0.00043846	0.09260000	0.00046765	0.09260000	-0.00004839	0.09260000	0.00046942	0.09260000	0.00029658	0.09260000	0.00029297	0.09260000	-0.00024687	0.09260000	-0.00044376
0.09730000	0.00020515	0.09730000	0.00070988	0.09730000	0.00041528	0.09730000	0.00042787	0.09730000	-0.00008795	0.09730000	0.00044645	0.09730000	0.00027092	0.09730000	0.00025617	0.09730000	-0.00029657	0.09730000	-0.00049419
0.10200000	0.00018171	0.10200000	0.00069451	0.10200000	0.00039359	0.10200000	0.00038690	0.10200000	-0.00012667	0.10200000	0.00042295	0.10200000	0.00024580	0.10200000	0.00021999	0.10200000	-0.00034580	0.10200000	-0.00054457
0.10670000	0.00015823	0.10670000	0.00067817	0.10670000	0.00037158	0.10670000	0.00034639	0.10670000	-0.00016509	0.10670000	0.00039963	0.10670000	0.00022005	0.10670000	0.00018325	0.10670000	-0.00039555	0.10670000	-0.00059608
0.11140000	0.00013467	0.11140000	0.00066288	0.11140000	0.00034968	0.11140000	0.00030529	0.11140000	-0.00020406	0.11140000	0.00037617	0.11140000	0.00019411	0.11140000	0.00014637	0.11140000	-0.00044569	0.11140000	-0.00064728
0.11610000	0.00011084	0.11610000	0.00064741	0.11610000	0.00032572	0.11610000	0.00026449	0.11610000	-0.00024347	0.11610000	0.00035262	0.11610000	0.00016829	0.11610000	0.00010857	0.11610000	-0.00049505	0.11610000	-0.00069847
0.12080000	0.00008702	0.12080000	0.00063199	0.12080000	0.00030412	0.12080000	0.00022228	0.12080000	-0.00028281	0.12080000	0.00032967	0.12080000	0.00014281	0.12080000	0.00007130	0.12080000	-0.00054546	0.12080000	-0.00074997
0.12550000	0.00006287	0.12550000	0.00061559	0.12550000	0.00028123	0.12550000	0.00018031	0.12550000	-0.00032187	0.12550000	0.00030646	0.12550000	0.00011673	0.12550000	0.00003397	0.12550000	-0.00059756	0.12550000	-0.00080187
0.13020000	0.00003846	0.13020000	0.00059874	0.13020000	0.00025827	0.13020000	0.00013895	0.13020000	-0.00036012	0.13020000	0.00028195	0.13020000	0.00009042	0.13020000	-0.00000362	0.13020000	-0.00064813	0.13020000	-0.00085325
