Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.14430000	0.00173019	0.14430000	0.00062719	0.14430000	0.00039426	0.14430000	0.00089124	0.14430000	0.00119372	0.14430000	0.00011585	0.14430000	-0.00129234	0.14430000	-0.00155666	0.14430000	0.00078912	0.14430000	0.00036307	0.14430000	0.00140786	0.14430000	0.00063439	0.14430000	0.00093847
0.14900000	0.00170595	0.14900000	0.00061965	0.14900000	0.00033534	0.14900000	0.00086435	0.14900000	0.00117028	0.14900000	0.00007229	0.14900000	-0.00137533	0.14900000	-0.00169632	0.14900000	0.00075932	0.14900000	0.00032852	0.14900000	0.00139118	0.14900000	0.00063035	0.14900000	0.00090238
0.15370000	0.00168201	0.15370000	0.00061133	0.15370000	0.00027407	0.15370000	0.00083654	0.15370000	0.00114551	0.15370000	0.00002856	0.15370000	-0.00145827	0.15370000	-0.00184019	0.15370000	0.00072903	0.15370000	0.00029372	0.15370000	0.00137519	0.15370000	0.00062632	0.15370000	0.00086308
0.15840000	0.00165771	0.15840000	0.00060278	0.15840000	0.00021058	0.15840000	0.00080792	0.15840000	0.00112146	0.15840000	-0.00001584	0.15840000	-0.00154135	0.15840000	-0.00198852	0.15840000	0.00069803	0.15840000	0.00025839	0.15840000	0.00135654	0.15840000	0.00062206	0.15840000	0.00082210
0.16310000	0.00163270	0.16310000	0.00059401	0.16310000	0.00014676	0.16310000	0.00077862	0.16310000	0.00109786	0.16310000	-0.00006087	0.16310000	-0.00162476	0.16310000	-0.00214272	0.16310000	0.00066504	0.16310000	0.00022190	0.16310000	0.00133846	0.16310000	0.00061774	0.16310000	0.00078136
0.16780000	0.00160683	0.16780000	0.00058510	0.16780000	0.00007798	0.16780000	0.00074785	0.16780000	0.00107298	0.16780000	-0.00010721	0.16780000	-0.00170839	0.16780000	-0.00230085	0.16780000	0.00063198	0.16780000	0.00018465	0.16780000	0.00131996	0.16780000	0.00061322	0.16780000	0.00074086
0.17250000	0.00157926	0.17250000	0.00057609	0.17250000	0.00001083	0.17250000	0.00071836	0.17250000	0.00104718	0.17250000	-0.00015375	0.17250000	-0.00179291	0.17250000	-0.00246473	0.17250000	0.00059765	0.17250000	0.00014703	0.17250000	0.00130047	0.17250000	0.00060893	0.17250000	0.00069828
0.17720000	0.00155093	0.17720000	0.00056668	0.17720000	-0.00005881	0.17720000	0.00068657	0.17720000	0.00101974	0.17720000	-0.00020075	0.17720000	-0.00187780	0.17720000	-0.00263528	0.17720000	0.00056238	0.17720000	0.00010826	0.17720000	0.00128004	0.17720000	0.00060362	0.17720000	0.00065300
0.18190000	0.00152259	0.18190000	0.00055677	0.18190000	-0.00013438	0.18190000	0.00065535	0.18190000	0.00099268	0.18190000	-0.00024935	0.18190000	-0.00196325	0.18190000	-0.00281039	0.18190000	0.00052616	0.18190000	0.00006878	0.18190000	0.00125903	0.18190000	0.00059889	0.18190000	0.00060835
0.18660000	0.00149223	0.18660000	0.00054676	0.18660000	-0.00020777	0.18660000	0.00062253	0.18660000	0.00096383	0.18660000	-0.00029832	0.18660000	-0.00204924	0.18660000	-0.00299145	0.18660000	0.00049008	0.18660000	0.00002798	0.18660000	0.00123736	0.18660000	0.00059433	0.18660000	0.00056178
