Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.01745000	0.00239507	0.01745000	0.00085043	0.01745000	0.00171713	0.01745000	0.00159185	0.01745000	0.00178754	0.01745000	0.00115834	0.01745000	0.00094374	0.01745000	0.00083785	0.01745000	0.00145253	0.01745000	0.00122926	0.01745000	0.00185462	0.01745000	0.00077684	0.01745000	0.00183137
0.02215000	0.00238194	0.02215000	0.00084638	0.02215000	0.00168242	0.02215000	0.00157674	0.02215000	0.00177593	0.02215000	0.00112676	0.02215000	0.00085847	0.02215000	0.00078152	0.02215000	0.00143924	0.02215000	0.00120253	0.02215000	0.00184757	0.02215000	0.00077459	0.02215000	0.00181293
0.02685000	0.00236896	0.02685000	0.00084199	0.02685000	0.00164609	0.02685000	0.00156110	0.02685000	0.00176292	0.02685000	0.00109506	0.02685000	0.00077264	0.02685000	0.00072469	0.02685000	0.00142524	0.02685000	0.00117626	0.02685000	0.00184077	0.02685000	0.00077263	0.02685000	0.00179303
0.03155000	0.00235640	0.03155000	0.00083775	0.03155000	0.00161077	0.03155000	0.00154479	0.03155000	0.00175156	0.03155000	0.00106371	0.03155000	0.00068750	0.03155000	0.00066535	0.03155000	0.00141004	0.03155000	0.00115149	0.03155000	0.00183427	0.03155000	0.00077048	0.03155000	0.00177186
0.03625000	0.00234046	0.03625000	0.00083366	0.03625000	0.00157166	0.03625000	0.00152817	0.03625000	0.00173932	0.03625000	0.00102965	0.03625000	0.00060198	0.03625000	0.00060339	0.03625000	0.00139471	0.03625000	0.00112402	0.03625000	0.00182654	0.03625000	0.00076794	0.03625000	0.00175089
0.04095000	0.00232508	0.04095000	0.00082917	0.04095000	0.00153305	0.04095000	0.00151088	0.04095000	0.00172595	0.04095000	0.00099740	0.04095000	0.00051639	0.04095000	0.00053970	0.04095000	0.00137917	0.04095000	0.00109726	0.04095000	0.00181879	0.04095000	0.00076554	0.04095000	0.00172947
0.04565000	0.00231065	0.04565000	0.00082474	0.04565000	0.00149323	0.04565000	0.00149375	0.04565000	0.00171297	0.04565000	0.00096396	0.04565000	0.00042990	0.04565000	0.00047493	0.04565000	0.00136188	0.04565000	0.00106978	0.04565000	0.00180937	0.04565000	0.00076378	0.04565000	0.00170722
0.05035000	0.00229373	0.05035000	0.00082012	0.05035000	0.00145352	0.05035000	0.00147440	0.05035000	0.00169842	0.05035000	0.00092970	0.05035000	0.00034424	0.05035000	0.00040674	0.05035000	0.00134364	0.05035000	0.00104202	0.05035000	0.00179944	0.05035000	0.00076154	0.05035000	0.00168295
0.05505000	0.00228083	0.05505000	0.00081556	0.05505000	0.00141218	0.05505000	0.00145503	0.05505000	0.00168424	0.05505000	0.00089491	0.05505000	0.00025875	0.05505000	0.00033556	0.05505000	0.00132652	0.05505000	0.00101443	0.05505000	0.00179047	0.05505000	0.00075915	0.05505000	0.00165790
0.05975000	0.00226624	0.05975000	0.00081090	0.05975000	0.00137046	0.05975000	0.00143655	0.05975000	0.00166845	0.05975000	0.00085963	0.05975000	0.00017272	0.05975000	0.00026218	0.05975000	0.00130912	0.05975000	0.00098602	0.05975000	0.00178280	0.05975000	0.00075726	0.05975000	0.00163228
