Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.13020000	-0.00145502	0.13020000	-0.00130285	0.13020000	-0.00183221	0.13020000	-0.00083500	0.13020000	0.00146219	0.13020000	-0.00002686	0.13020000	0.00029333	0.13020000	-0.00020619	0.13020000	0.00118309	0.13020000	0.00130635	0.13020000	0.00108768
0.13490000	-0.00156355	0.13490000	-0.00140706	0.13490000	-0.00197209	0.13490000	-0.00093080	0.13490000	0.00141837	0.13490000	-0.00010190	0.13490000	0.00021031	0.13490000	-0.00025628	0.13490000	0.00114934	0.13490000	0.00127336	0.13490000	0.00105601
0.13960000	-0.00167324	0.13960000	-0.00151170	0.13960000	-0.00211318	0.13960000	-0.00102830	0.13960000	0.00137637	0.13960000	-0.00017965	0.13960000	0.00012887	0.13960000	-0.00030675	0.13960000	0.00111424	0.13960000	0.00123864	0.13960000	0.00102615
0.14430000	-0.00178331	0.14430000	-0.00161646	0.14430000	-0.00225418	0.14430000	-0.00112899	0.14430000	0.00133106	0.14430000	-0.00025726	0.14430000	0.00004277	0.14430000	-0.00035815	0.14430000	0.00107920	0.14430000	0.00120561	0.14430000	0.00099291
0.14900000	-0.00189353	0.14900000	-0.00172196	0.14900000	-0.00239684	0.14900000	-0.00122916	0.14900000	0.00128673	0.14900000	-0.00033456	0.14900000	-0.00004263	0.14900000	-0.00040944	0.14900000	0.00104357	0.14900000	0.00117172	0.14900000	0.00096140
0.15370000	-0.00200674	0.15370000	-0.00182840	0.15370000	-0.00253891	0.15370000	-0.00132916	0.15370000	0.00124230	0.15370000	-0.00041176	0.15370000	-0.00013047	0.15370000	-0.00046137	0.15370000	0.00100844	0.15370000	0.00113604	0.15370000	0.00092855
0.15840000	-0.00211795	0.15840000	-0.00193479	0.15840000	-0.00268395	0.15840000	-0.00143038	0.15840000	0.00119792	0.15840000	-0.00049018	0.15840000	-0.00021830	0.15840000	-0.00051349	0.15840000	0.00097040	0.15840000	0.00109874	0.15840000	0.00089499
0.16310000	-0.00223188	0.16310000	-0.00204176	0.16310000	-0.00282920	0.16310000	-0.00153127	0.16310000	0.00115196	0.16310000	-0.00056958	0.16310000	-0.00030479	0.16310000	-0.00056611	0.16310000	0.00093305	0.16310000	0.00106289	0.16310000	0.00086140
0.16780000	-0.00234715	0.16780000	-0.00215090	0.16780000	-0.00297670	0.16780000	-0.00163330	0.16780000	0.00110570	0.16780000	-0.00064732	0.16780000	-0.00039354	0.16780000	-0.00061922	0.16780000	0.00089544	0.16780000	0.00102704	0.16780000	0.00082643
0.17250000	-0.00246204	0.17250000	-0.00225958	0.17250000	-0.00312369	0.17250000	-0.00173781	0.17250000	0.00105870	0.17250000	-0.00072599	0.17250000	-0.00048352	0.17250000	-0.00067312	0.17250000	0.00085691	0.17250000	0.00098906	0.17250000	0.00079264
0.17720000	-0.00257816	0.17720000	-0.00236977	0.17720000	-0.00327146	0.17720000	-0.00184164	0.17720000	0.00101232	0.17720000	-0.00080512	0.17720000	-0.00057411	0.17720000	-0.00072695	0.17720000	0.00081729	0.17720000	0.00095229	0.17720000	0.00075627
0.18190000	-0.00269563	0.18190000	-0.00248263	0.18190000	-0.00342094	0.18190000	-0.00194595	0.18190000	0.00096226	0.18190000	-0.00088519	0.18190000	-0.00066484	0.18190000	-0.00078242	0.18190000	0.00077716	0.18190000	0.00091498	0.18190000	0.00071960
0.18660000	-0.00281380	0.18660000	-0.00259583	0.18660000	-0.00357232	0.18660000	-0.00205320	0.18660000	0.00091388	0.18660000	-0.00096660	0.18660000	-0.00075900	0.18660000	-0.00083748	0.18660000	0.00073773	0.18660000	0.00087795	0.18660000	0.00068240
0.19130000	-0.00293326	0.19130000	-0.00270863	0.19130000	-0.00372458	0.19130000	-0.00216127	0.19130000	0.00086609	0.19130000	-0.00104826	0.19130000	-0.00085251	0.19130000	-0.00089404	0.19130000	0.00069613	0.19130000	0.00083809	0.19130000	0.00064276
0.19595000	-0.00305307	0.19595000	-0.00282115	0.19595000	-0.00387604	0.19595000	-0.00226841	0.19595000	0.00081818	0.19595000	-0.00112879	0.19595000	-0.00094558	0.19595000	-0.00094989	0.19595000	0.00065523	0.19595000	0.00079801	0.19595000	0.00060445
0.20065000	-0.00317403	0.20065000	-0.00293561	0.20065000	-0.00403003	0.20065000	-0.00237678	0.20065000	0.00076859	0.20065000	-0.00121191	0.20065000	-0.00104156	0.20065000	-0.00100809	0.20065000	0.00061277	0.20065000	0.00075674	0.20065000	0.00056369
0.20535000	-0.00329817	0.20535000	-0.00305192	0.20535000	-0.00418405	0.20535000	-0.00248890	0.20535000	0.00071908	0.20535000	-0.00129427	0.20535000	-0.00114099	0.20535000	-0.00106530	0.20535000	0.00057050	0.20535000	0.00071593	0.20535000	0.00052161
0.21005000	-0.00342388	0.21005000	-0.00316998	0.21005000	-0.00434131	0.21005000	-0.00260177	0.21005000	0.00066489	0.21005000	-0.00137776	0.21005000	-0.00123949	0.21005000	-0.00112340	0.21005000	0.00052735	0.21005000	0.00067327	0.21005000	0.00047803
0.21475000	-0.00355004	0.21475000	-0.00328846	0.21475000	-0.00449963	0.21475000	-0.00271564	0.21475000	0.00061408	0.21475000	-0.00145996	0.21475000	-0.00133788	0.21475000	-0.00118322	0.21475000	0.00048372	0.21475000	0.00062962	0.21475000	0.00043309
0.21945000	-0.00367735	0.21945000	-0.00340797	0.21945000	-0.00465836	0.21945000	-0.00283124	0.21945000	0.00056268	0.21945000	-0.00154531	0.21945000	-0.00143706	0.21945000	-0.00124410	0.21945000	0.00043990	0.21945000	0.00058652	0.21945000	0.00038817
0.22415000	-0.00380587	0.22415000	-0.00352804	0.22415000	-0.00481955	0.22415000	-0.00294850	0.22415000	0.00050756	0.22415000	-0.00163149	0.22415000	-0.00154039	0.22415000	-0.00130521	0.22415000	0.00039440	0.22415000	0.00054016	0.22415000	0.00034008
