Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.07385000	0.00060415	0.07385000	0.00147908	0.07385000	0.00098796	0.07385000	0.00117986	0.07385000	0.00020021	0.07385000	0.00105516	0.07385000	0.00074734	0.07385000	0.00082612	0.07385000	-0.00009262	0.07385000	-0.00045871
0.07850000	0.00056131	0.07850000	0.00145222	0.07850000	0.00094758	0.07850000	0.00110534	0.07850000	0.00012694	0.07850000	0.00101256	0.07850000	0.00069989	0.07850000	0.00075847	0.07850000	-0.00018524	0.07850000	-0.00055077
0.08320000	0.00051690	0.08320000	0.00142350	0.08320000	0.00090684	0.08320000	0.00103118	0.08320000	0.00005415	0.08320000	0.00096939	0.08320000	0.00065278	0.08320000	0.00068918	0.08320000	-0.00027755	0.08320000	-0.00064488
0.08790000	0.00047352	0.08790000	0.00139580	0.08790000	0.00086518	0.08790000	0.00095299	0.08790000	-0.00001805	0.08790000	0.00092627	0.08790000	0.00060542	0.08790000	0.00062070	0.08790000	-0.00037046	0.08790000	-0.00073958
0.09260000	0.00042975	0.09260000	0.00136634	0.09260000	0.00082461	0.09260000	0.00087950	0.09260000	-0.00009100	0.09260000	0.00088283	0.09260000	0.00055778	0.09260000	0.00055098	0.09260000	-0.00046428	0.09260000	-0.00083457
0.09730000	0.00038583	0.09730000	0.00133506	0.09730000	0.00078101	0.09730000	0.00080470	0.09730000	-0.00016541	0.09730000	0.00083963	0.09730000	0.00050951	0.09730000	0.00048177	0.09730000	-0.00055775	0.09730000	-0.00092942
0.10200000	0.00034174	0.10200000	0.00130615	0.10200000	0.00074022	0.10200000	0.00072763	0.10200000	-0.00023823	0.10200000	0.00079543	0.10200000	0.00046227	0.10200000	0.00041373	0.10200000	-0.00065035	0.10200000	-0.00102417
0.10670000	0.00029759	0.10670000	0.00127543	0.10670000	0.00069883	0.10670000	0.00065146	0.10670000	-0.00031049	0.10670000	0.00075158	0.10670000	0.00041385	0.10670000	0.00034463	0.10670000	-0.00074390	0.10670000	-0.00112104
0.11140000	0.00025328	0.11140000	0.00124668	0.11140000	0.00065764	0.11140000	0.00057416	0.11140000	-0.00038377	0.11140000	0.00070746	0.11140000	0.00036506	0.11140000	0.00027528	0.11140000	-0.00083820	0.11140000	-0.00121733
0.11610000	0.00020845	0.11610000	0.00121758	0.11610000	0.00061257	0.11610000	0.00049742	0.11610000	-0.00045790	0.11610000	0.00066317	0.11610000	0.00031651	0.11610000	0.00020418	0.11610000	-0.00093103	0.11610000	-0.00131360
0.12080000	0.00016365	0.12080000	0.00118858	0.12080000	0.00057195	0.12080000	0.00041804	0.12080000	-0.00053187	0.12080000	0.00062000	0.12080000	0.00026858	0.12080000	0.00013410	0.12080000	-0.00102584	0.12080000	-0.00141047
0.12550000	0.00011823	0.12550000	0.00115773	0.12550000	0.00052891	0.12550000	0.00033911	0.12550000	-0.00060533	0.12550000	0.00057636	0.12550000	0.00021953	0.12550000	0.00006388	0.12550000	-0.00112383	0.12550000	-0.00150807
0.13020000	0.00007233	0.13020000	0.00112605	0.13020000	0.00048573	0.13020000	0.00026132	0.13020000	-0.00067727	0.13020000	0.00053026	0.13020000	0.00017005	0.13020000	-0.00000681	0.13020000	-0.00121894	0.13020000	-0.00160469
0.13490000	0.00002691	0.13490000	0.00109374	0.13490000	0.00044194	0.13490000	0.00018343	0.13490000	-0.00075154	0.13490000	0.00048571	0.13490000	0.00012087	0.13490000	-0.00007874	0.13490000	-0.00131435	0.13490000	-0.00170272
0.13960000	-0.00001802	0.13960000	0.00106230	0.13960000	0.00039740	0.13960000	0.00010420	0.13960000	-0.00082600	0.13960000	0.00044235	0.13960000	0.00007100	0.13960000	-0.00015224	0.13960000	-0.00141047	0.13960000	-0.00180146
0.14430000	-0.00006314	0.14430000	0.00103059	0.14430000	0.00035289	0.14430000	0.00002478	0.14430000	-0.00090059	0.14430000	0.00039617	0.14430000	0.00002090	0.14430000	-0.00022142	0.14430000	-0.00150658	0.14430000	-0.00190001
0.14900000	-0.00011204	0.14900000	0.00099648	0.14900000	0.00030766	0.14900000	-0.00005767	0.14900000	-0.00097560	0.14900000	0.00035026	0.14900000	-0.00002736	0.14900000	-0.00029191	0.14900000	-0.00160414	0.14900000	-0.00200025
0.15370000	-0.00015762	0.15370000	0.00096545	0.15370000	0.00026424	0.15370000	-0.00014209	0.15370000	-0.00105004	0.15370000	0.00030533	0.15370000	-0.00007751	0.15370000	-0.00036263	0.15370000	-0.00170246	0.15370000	-0.00210008
0.15840000	-0.00020411	0.15840000	0.00093079	0.15840000	0.00022009	0.15840000	-0.00022257	0.15840000	-0.00112404	0.15840000	0.00025842	0.15840000	-0.00012661	0.15840000	-0.00043420	0.15840000	-0.00179998	0.15840000	-0.00220072
0.16310000	-0.00025013	0.16310000	0.00090020	0.16310000	0.00017353	0.16310000	-0.00030438	0.16310000	-0.00119905	0.16310000	0.00021169	0.16310000	-0.00017753	0.16310000	-0.00050591	0.16310000	-0.00189960	0.16310000	-0.00230224
0.16780000	-0.00029725	0.16780000	0.00086728	0.16780000	0.00012714	0.16780000	-0.00038817	0.16780000	-0.00127557	0.16780000	0.00016409	0.16780000	-0.00022789	0.16780000	-0.00057815	0.16780000	-0.00199896	0.16780000	-0.00240345
0.17250000	-0.00034460	0.17250000	0.00083422	0.17250000	0.00008048	0.17250000	-0.00047120	0.17250000	-0.00135010	0.17250000	0.00011681	0.17250000	-0.00027843	0.17250000	-0.00064954	0.17250000	-0.00210088	0.17250000	-0.00250682
0.17720000	-0.00039054	0.17720000	0.00079973	0.17720000	0.00003334	0.17720000	-0.00055398	0.17720000	-0.00142637	0.17720000	0.00006984	0.17720000	-0.00032982	0.17720000	-0.00072097	0.17720000	-0.00220191	0.17720000	-0.00261084
0.18190000	-0.00043855	0.18190000	0.00076687	0.18190000	-0.00001403	0.18190000	-0.00064056	0.18190000	-0.00150259	0.18190000	0.00002076	0.18190000	-0.00038018	0.18190000	-0.00079353	0.18190000	-0.00230424	0.18190000	-0.00271446
0.18660000	-0.00048604	0.18660000	0.00073158	0.18660000	-0.00006160	0.18660000	-0.00072608	0.18660000	-0.00157737	0.18660000	-0.00002648	0.18660000	-0.00043191	0.18660000	-0.00086699	0.18660000	-0.00240682	0.18660000	-0.00282169
0.19130000	-0.00053338	0.19130000	0.00069659	0.19130000	-0.00011236	0.19130000	-0.00081220	0.19130000	-0.00165416	0.19130000	-0.00007436	0.19130000	-0.00048429	0.19130000	-0.00093951	0.19130000	-0.00250976	0.19130000	-0.00292905
0.19595000	-0.00058006	0.19595000	0.00066166	0.19595000	-0.00016069	0.19595000	-0.00089752	0.19595000	-0.00172981	0.19595000	-0.00012423	0.19595000	-0.00053400	0.19595000	-0.00101263	0.19595000	-0.00261315	0.19595000	-0.00304976
