Mo_room_400Sb_35Se_1 2026-07-09 12-37-33		Mo_room_400Sb_35Se_2 2026-07-09 12-39-10		Mo_room_400Sb_35Se_3 2026-07-09 12-40-56		Mo_room_400Sb_35Se_5 2026-07-09 12-44-35		Mo_room_400Sb_35Se_6 2026-07-09 12-46-48		Mo_room_400Sb_35Se_7 2026-07-09 12-48-47		Mo_room_400Sb_35Se_8 2026-07-09 12-49-56		Mo_room_400Sb_35Se_9 2026-07-09 12-51-28		Mo_room_400Sb_35Se_10 2026-07-09 12-54-37		Mo_room_400Sb_35Se_11 2026-07-09 12-55-41		Mo_room_400Sb_35Se_12 2026-07-09 12-57-17	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.07850000	-0.00999993	0.07850000	-0.00999993	0.07850000	-0.00999991	0.07850000	-0.00999994	0.07850000	-0.00999992	0.07850000	-0.00999994	0.07850000	-0.00999993	0.07850000	-0.00999985	0.07850000	-0.00999992	0.07850000	-0.00999992	0.07850000	-0.00999991
0.08320000	-0.00999993	0.08320000	-0.00999993	0.08320000	-0.00999993	0.08320000	-0.00999992	0.08320000	-0.00999992	0.08320000	-0.00999992	0.08320000	-0.00999991	0.08320000	-0.00999988	0.08320000	-0.00999992	0.08320000	-0.00999993	0.08320000	-0.00999992
0.08790000	-0.00999993	0.08790000	-0.00999992	0.08790000	-0.00999992	0.08790000	-0.00999992	0.08790000	-0.00999992	0.08790000	-0.00999993	0.08790000	-0.00999993	0.08790000	-0.00999991	0.08790000	-0.01000025	0.08790000	-0.00999993	0.08790000	-0.00999992
0.09260000	-0.00999992	0.09260000	-0.00999991	0.09260000	-0.00999992	0.09260000	-0.00999993	0.09260000	-0.00999992	0.09260000	-0.00999990	0.09260000	-0.00999993	0.09260000	-0.00999993	0.09260000	-0.00999991	0.09260000	-0.00999991	0.09260000	-0.00999991
0.09730000	-0.00999992	0.09730000	-0.00999990	0.09730000	-0.00999993	0.09730000	-0.00999992	0.09730000	-0.00999993	0.09730000	-0.00999992	0.09730000	-0.00999993	0.09730000	-0.00999989	0.09730000	-0.00999990	0.09730000	-0.00999993	0.09730000	-0.00999992
0.10200000	-0.00999992	0.10200000	-0.00999993	0.10200000	-0.00999992	0.10200000	-0.00999992	0.10200000	-0.00999992	0.10200000	-0.00999995	0.10200000	-0.00999993	0.10200000	-0.00999990	0.10200000	-0.00999986	0.10200000	-0.00999994	0.10200000	-0.00999993
0.10670000	-0.00999991	0.10670000	-0.00999993	0.10670000	-0.00999992	0.10670000	-0.00999993	0.10670000	-0.00999992	0.10670000	-0.00999993	0.10670000	-0.00999993	0.10670000	-0.00999991	0.10670000	-0.00999992	0.10670000	-0.00999990	0.10670000	-0.00999993
0.11140000	-0.00999992	0.11140000	-0.00999992	0.11140000	-0.00999992	0.11140000	-0.00999992	0.11140000	-0.00999993	0.11140000	-0.00999996	0.11140000	-0.00999993	0.11140000	-0.00999991	0.11140000	-0.00999991	0.11140000	-0.00999995	0.11140000	-0.00999993
0.11610000	-0.00999991	0.11610000	-0.00999994	0.11610000	-0.00999992	0.11610000	-0.00999992	0.11610000	-0.00999993	0.11610000	-0.00999990	0.11610000	-0.00999993	0.11610000	-0.00999991	0.11610000	-0.00999992	0.11610000	-0.00999992	0.11610000	-0.00999993
0.12080000	-0.00999992	0.12080000	-0.00999991	0.12080000	-0.00999992	0.12080000	-0.00999992	0.12080000	-0.00999993	0.12080000	-0.00999993	0.12080000	-0.00999992	0.12080000	-0.00999990	0.12080000	-0.00999991	0.12080000	-0.00999991	0.12080000	-0.00999994
0.12550000	-0.00999992	0.12550000	-0.00999991	0.12550000	-0.00999991	0.12550000	-0.00999992	0.12550000	-0.00999993	0.12550000	-0.00999992	0.12550000	-0.00999992	0.12550000	-0.00999990	0.12550000	-0.00999992	0.12550000	-0.00999992	0.12550000	-0.00999992
0.13020000	-0.00999993	0.13020000	-0.00994111	0.13020000	-0.00999993	0.13020000	-0.00999991	0.13020000	-0.00999992	0.13020000	-0.00999991	0.13020000	-0.00999993	0.13020000	-0.00999991	0.13020000	-0.00999992	0.13020000	-0.00999992	0.13020000	-0.00999992
0.13490000	-0.00999992	0.13490000	-0.00999990	0.13490000	-0.00999992	0.13490000	-0.00999992	0.13490000	-0.00999992	0.13490000	-0.00999992	0.13490000	-0.00999993	0.13490000	-0.00999991	0.13490000	-0.00999991	0.13490000	-0.00999993	0.13490000	-0.00999993
0.13960000	-0.00999992	0.13960000	-0.00999993	0.13960000	-0.00999993	0.13960000	-0.00999992	0.13960000	-0.00999993	0.13960000	-0.00999994	0.13960000	-0.00999994	0.13960000	-0.01000007	0.13960000	-0.00999992	0.13960000	-0.00999994	0.13960000	-0.00999992
0.14430000	-0.00999994	0.14430000	-0.00999993	0.14430000	-0.00999994	0.14430000	-0.00999992	0.14430000	-0.00999993	0.14430000	-0.00999994	0.14430000	-0.00999993	0.14430000	-0.00999982	0.14430000	-0.00999992	0.14430000	-0.00999990	0.14430000	-0.00999992
0.14900000	-0.00999992	0.14900000	-0.00999991	0.14900000	-0.00999993	0.14900000	-0.00999993	0.14900000	-0.00999992	0.14900000	-0.00999994	0.14900000	-0.00999993	0.14900000	-0.00999987	0.14900000	-0.00999992	0.14900000	-0.00999991	0.14900000	-0.00999991
0.15370000	-0.00999993	0.15370000	-0.00999992	0.15370000	-0.00999991	0.15370000	-0.00999992	0.15370000	-0.00999992	0.15370000	-0.00999995	0.15370000	-0.00999994	0.15370000	-0.01000006	0.15370000	-0.00999991	0.15370000	-0.00999991	0.15370000	-0.00999991
0.15840000	-0.00999992	0.15840000	-0.00999992	0.15840000	-0.00999992	0.15840000	-0.00999992	0.15840000	-0.00999993	0.15840000	-0.00999993	0.15840000	-0.00999993	0.15840000	-0.00999984	0.15840000	-0.00999992	0.15840000	-0.00999989	0.15840000	-0.00999991
0.16310000	-0.00999992	0.16310000	-0.00999991	0.16310000	-0.00999992	0.16310000	-0.00999991	0.16310000	-0.00999993	0.16310000	-0.00999994	0.16310000	-0.00999994	0.16310000	-0.00999988	0.16310000	-0.00999991	0.16310000	-0.00999989	0.16310000	-0.00999992
0.16780000	-0.00999992	0.16780000	-0.00999992	0.16780000	-0.00999992	0.16780000	-0.00999992	0.16780000	-0.00999995	0.16780000	-0.00999995	0.16780000	-0.00999992	0.16780000	-0.00999991	0.16780000	-0.00999992	0.16780000	-0.00999989	0.16780000	-0.00999992
0.17250000	-0.00999992	0.17250000	-0.00999993	0.17250000	-0.00999992	0.17250000	-0.00999991	0.17250000	-0.00999993	0.17250000	-0.00999995	0.17250000	-0.00999992	0.17250000	-0.00999989	0.17250000	-0.00999991	0.17250000	-0.00999992	0.17250000	-0.00999992
0.17720000	-0.00999992	0.17720000	-0.00999992	0.17720000	-0.00999992	0.17720000	-0.00999992	0.17720000	-0.00999993	0.17720000	-0.01000003	0.17720000	-0.00999992	0.17720000	-0.00999991	0.17720000	-0.00999990	0.17720000	-0.00999992	0.17720000	-0.00999993
0.18190000	-0.00999992	0.18190000	-0.00999991	0.18190000	-0.00999991	0.18190000	-0.00999992	0.18190000	-0.00999994	0.18190000	-0.00999984	0.18190000	-0.00999991	0.18190000	-0.00999991	0.18190000	-0.00999992	0.18190000	-0.00999992	0.18190000	-0.00999993
0.18660000	-0.00999993	0.18660000	-0.00999990	0.18660000	-0.00999991	0.18660000	-0.00999993	0.18660000	-0.00999993	0.18660000	-0.00999991	0.18660000	-0.00999992	0.18660000	-0.00999991	0.18660000	-0.00999991	0.18660000	-0.00999992	0.18660000	-0.00999992
0.19130000	-0.00999993	0.19130000	-0.00999996	0.19130000	-0.00999992	0.19130000	-0.00999992	0.19130000	-0.00999993	0.19130000	-0.00999988	0.19130000	-0.00999992	0.19130000	-0.00999991	0.19130000	-0.00999991	0.19130000	-0.00999993	0.19130000	-0.00999991
0.19595000	-0.00999993	0.19595000	-0.00999939	0.19595000	-0.00999991	0.19595000	-0.00999992	0.19595000	-0.00999993	0.19595000	-0.00999991	0.19595000	-0.00999992	0.19595000	-0.00999992	0.19595000	-0.00999992	0.19595000	-0.00999992	0.19595000	-0.00999990
0.20065000	-0.00999992	0.20065000	-0.00999992	0.20065000	-0.00999991	0.20065000	-0.00999991	0.20065000	-0.00999992	0.20065000	-0.00999998	0.20065000	-0.00999992	0.20065000	-0.00999998	0.20065000	-0.00999990	0.20065000	-0.00999993	0.20065000	-0.00999991
0.20535000	-0.00999992	0.20535000	-0.00999991	0.20535000	-0.00999992	0.20535000	-0.00999992	0.20535000	-0.00999992	0.20535000	-0.00999995	0.20535000	-0.00999992	0.20535000	-0.00999994	0.20535000	-0.00999991	0.20535000	-0.00999992	0.20535000	-0.00999992
